Tissue,Cell Type,Cell Count,Tissue Composition,Sex,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,female,3209,0.03%,female,PDE4DIP,2.634151492,0.467749531,2615
brain,female,3209,,female,AC159540.1,,,
brain,female,3209,,female,RP11-289H16.1,,,
brain,female,3209,,female,RP11-219A15.1,,,
brain,female,3209,0.00%,female,LINC01609,1.70778203,0.118458341,1
brain,female,3209,0.00%,female,PHYHIP,1.961313714,0.214053443,45
brain,female,3209,,female,RP11-745L13.2,,,
brain,male,2446,0.00%,male,SLC26A3,1.765597661,0.140257948,24
brain,male,2446,0.00%,male,RASGEF1B,1.888637025,0.186650416,81
brain,male,2446,,male,RP11-701H24.9,,,
brain,male,2446,0.00%,male,LINGO3,1.680206617,0.108060925,6
brain,male,2446,0.02%,male,PDE4DIP,2.219049066,0.311233555,1858
brain,male,2446,,male,AC159540.1,,,
brain,male,2446,,male,RP11-289H16.1,,,
brain,male,2446,,male,RP11-219A15.1,,,
brain,male,2446,,male,LINC01609,,,
brain,male,2446,0.00%,male,PHYHIP,1.779858009,0.145634868,102
brain,male,2446,,male,RP11-745L13.2,,,
brain,female,3022,0.00%,female,SLC26A3,2.040795248,0.244022263,61
brain,female,3022,0.01%,female,RASGEF1B,2.206760973,0.306600282,822
brain,female,3022,,female,RP11-701H24.9,,,
brain,female,3022,0.00%,female,LINGO3,1.989024878,0.224502045,4
brain,female,3022,0.01%,female,PDE4DIP,1.988471469,0.22429338,532
brain,female,3022,0.00%,female,AC159540.1,1.870834462,0.179937891,274
brain,female,3022,0.00%,female,RP11-289H16.1,1.840058193,0.16833358,93
brain,female,3022,0.00%,female,RP11-219A15.1,1.698464274,0.114945045,8
brain,female,3022,0.00%,female,LINC01609,1.941455205,0.206565716,12
brain,female,3022,0.00%,female,PHYHIP,1.80342563,0.15452113,6
brain,female,3022,0.00%,female,RP11-745L13.2,1.80117925,0.153674124,18
brain,male,1632,0.00%,male,SLC26A3,2.06175529,0.251925328,113
brain,male,1632,0.01%,male,RASGEF1B,2.248738755,0.322428167,548
brain,male,1632,,male,RP11-701H24.9,,,
brain,male,1632,0.00%,male,LINGO3,1.935405016,0.204284468,8
brain,male,1632,0.00%,male,PDE4DIP,2.019785507,0.236100459,181
brain,male,1632,0.00%,male,AC159540.1,1.828199056,0.163862046,150
brain,male,1632,0.00%,male,RP11-289H16.1,1.924098363,0.200021251,145
brain,male,1632,0.00%,male,RP11-219A15.1,1.689975103,0.11174417,6
brain,male,1632,0.00%,male,LINC01609,2.044844104,0.2455489,31
brain,male,1632,0.00%,male,PHYHIP,1.729704666,0.126724356,5
brain,male,1632,0.00%,male,RP11-745L13.2,1.883731484,0.184800763,8
brain,female,3034,0.00%,female,SLC26A3,1.987876329,0.22406898,149
brain,female,3034,0.00%,female,RASGEF1B,1.955000366,0.211672971,177
brain,female,3034,0.00%,female,RP11-701H24.9,2.030704189,0.24021739,74
brain,female,3034,0.00%,female,LINGO3,1.763946397,0.139635333,7
brain,female,3034,0.00%,female,PDE4DIP,1.635378432,0.091158284,87
brain,female,3034,0.00%,female,AC159540.1,1.624969074,0.087233395,28
brain,female,3034,0.00%,female,RP11-289H16.1,1.578827143,0.069835402,2
brain,female,3034,,female,RP11-219A15.1,,,
brain,female,3034,0.00%,female,LINC01609,1.540343952,0.055325166,5
brain,female,3034,0.00%,female,PHYHIP,1.826168634,0.163096468,113
brain,female,3034,0.00%,female,RP11-745L13.2,1.689091047,0.111410833,6
brain,male,2747,0.00%,male,SLC26A3,1.898587723,0.190402366,271
brain,male,2747,0.00%,male,RASGEF1B,1.819108729,0.160434503,155
brain,male,2747,0.00%,male,RP11-701H24.9,1.991381407,0.225390583,128
brain,male,2747,0.00%,male,LINGO3,1.753943324,0.135863635,4
brain,male,2747,0.00%,male,PDE4DIP,1.633073367,0.09028915,104
brain,male,2747,0.00%,male,AC159540.1,1.552144241,0.05977451,20
brain,male,2747,0.00%,male,RP11-289H16.1,1.680519223,0.108178794,2
brain,male,2747,,male,RP11-219A15.1,,,
brain,male,2747,0.00%,male,LINC01609,1.512584209,0.044858247,6
brain,male,2747,0.00%,male,PHYHIP,1.752401824,0.135282407,101
brain,male,2747,0.00%,male,RP11-745L13.2,1.528356552,0.05080527,3
brain,male,21125,0.03%,male,SLC26A3,2.428544634,0.390224669,2343
brain,male,21125,0.03%,male,RASGEF1B,2.846122239,0.547673921,2852
brain,male,21125,0.01%,male,RP11-701H24.9,2.044336447,0.245357486,1342
brain,male,21125,0.00%,male,LINGO3,1.898908997,0.190523503,25
brain,male,21125,0.01%,male,PDE4DIP,1.911165759,0.195144963,578
brain,male,21125,0.00%,male,AC159540.1,1.978585434,0.220565812,240
brain,male,21125,0.00%,male,RP11-289H16.1,2.021464139,0.236733394,187
brain,male,21125,0.00%,male,RP11-219A15.1,1.93628078,0.204614679,144
brain,male,21125,0.01%,male,LINC01609,2.500547624,0.417373675,613
brain,male,21125,0.01%,male,PHYHIP,2.043762207,0.245140966,812
brain,male,21125,0.00%,male,RP11-745L13.2,2.021267918,0.236659408,280
brain,female,9987,0.02%,female,SLC26A3,2.244117268,0.320685617,1432
brain,female,9987,0.02%,female,RASGEF1B,2.385760632,0.374092796,2012
brain,female,9987,0.01%,female,RP11-701H24.9,2.067107317,0.253943331,802
brain,female,9987,0.00%,female,LINGO3,1.737899184,0.12981413,16
brain,female,9987,0.01%,female,PDE4DIP,1.900994504,0.191309852,679
brain,female,9987,0.00%,female,AC159540.1,1.91824913,0.197815775,144
brain,female,9987,0.00%,female,RP11-289H16.1,2.004310469,0.230265536,110
brain,female,9987,0.00%,female,RP11-219A15.1,1.871518102,0.18019566,58
brain,female,9987,0.00%,female,LINC01609,1.945541947,0.208106637,54
brain,female,9987,0.01%,female,PHYHIP,2.079288478,0.258536284,753
brain,female,9987,0.00%,female,RP11-745L13.2,2.029665908,0.239825903,173
brain,male,8240,0.01%,male,SLC26A3,2.291791073,0.33866121,749
brain,male,8240,0.01%,male,RASGEF1B,2.550753022,0.436303815,1133
brain,male,8240,0.00%,male,RP11-701H24.9,1.906561137,0.193408772,215
brain,male,8240,0.00%,male,LINGO3,2.02938761,0.239720969,14
brain,male,8240,0.00%,male,PDE4DIP,1.961616516,0.214167616,130
brain,male,8240,0.00%,male,AC159540.1,2.001245408,0.229109843,126
brain,male,8240,0.00%,male,RP11-289H16.1,1.918711835,0.19799024,83
brain,male,8240,0.00%,male,RP11-219A15.1,1.892668019,0.188170318,92
brain,male,8240,0.00%,male,LINC01609,2.003465925,0.229947097,42
brain,male,8240,0.00%,male,PHYHIP,1.958684921,0.213062247,160
brain,male,8240,0.00%,male,RP11-745L13.2,2.091563186,0.26316451,146
brain,female,3728,0.01%,female,SLC26A3,2.418393067,0.386396982,771
brain,female,3728,0.01%,female,RASGEF1B,2.686957332,0.487660177,1019
brain,female,3728,0.00%,female,RP11-701H24.9,1.962239252,0.214402421,215
brain,female,3728,0.00%,female,LINGO3,1.746541341,0.133072689,3
brain,female,3728,0.00%,female,PDE4DIP,1.974265021,0.218936784,111
brain,female,3728,0.00%,female,AC159540.1,1.998713379,0.228155132,100
brain,female,3728,0.00%,female,RP11-289H16.1,2.052817112,0.248555153,90
brain,female,3728,0.00%,female,RP11-219A15.1,1.871518102,0.18019566,58
brain,female,3728,0.00%,female,LINC01609,1.963748387,0.214971446,49
brain,female,3728,0.00%,female,PHYHIP,2.090187383,0.262645759,123
brain,female,3728,0.00%,female,RP11-745L13.2,2.060460441,0.2514371,155
brain,male,357,0.00%,male,SLC26A3,2.356797837,0.363172262,165
brain,male,357,0.00%,male,RASGEF1B,2.332772845,0.354113546,173
brain,male,357,0.00%,male,RP11-701H24.9,1.980171018,0.221163662,41
brain,male,357,,male,LINGO3,,,
brain,male,357,0.00%,male,PDE4DIP,1.932163119,0.203062099,4
brain,male,357,,male,AC159540.1,,,
brain,male,357,,male,RP11-289H16.1,,,
brain,male,357,,male,RP11-219A15.1,,,
brain,male,357,0.00%,male,LINC01609,1.648642421,0.096159522,1
brain,male,357,0.00%,male,PHYHIP,1.876185417,0.18195549,5
brain,male,357,,male,RP11-745L13.2,,,
brain,female,254,0.00%,female,SLC26A3,2.244642639,0.320883711,100
brain,female,254,0.00%,female,RASGEF1B,2.307187681,0.344466561,108
brain,female,254,0.00%,female,RP11-701H24.9,1.918115707,0.197765467,21
brain,female,254,,female,LINGO3,,,
brain,female,254,0.00%,female,PDE4DIP,1.715296388,0.121291658,4
brain,female,254,,female,AC159540.1,,,
brain,female,254,0.00%,female,RP11-289H16.1,1.535072207,0.053337434,1
brain,female,254,0.00%,female,RP11-219A15.1,1.599906445,0.077783434,1
brain,female,254,,female,LINC01609,,,
brain,female,254,0.00%,female,PHYHIP,2.285197258,0.336174987,2
brain,female,254,0.00%,female,RP11-745L13.2,1.412036419,0.006946314,1
brain,male,317,0.00%,male,SLC26A3,2.373986655,0.369653372,151
brain,male,317,0.00%,male,RASGEF1B,2.332848549,0.35414209,160
brain,male,317,0.00%,male,RP11-701H24.9,1.953533466,0.211119871,39
brain,male,317,,male,LINGO3,,,
brain,male,317,0.00%,male,PDE4DIP,1.932163119,0.203062099,4
brain,male,317,,male,AC159540.1,,,
brain,male,317,,male,RP11-289H16.1,,,
brain,male,317,,male,RP11-219A15.1,,,
brain,male,317,0.00%,male,LINC01609,1.648642421,0.096159522,1
brain,male,317,0.00%,male,PHYHIP,1.876185417,0.18195549,5
brain,male,317,,male,RP11-745L13.2,,,
brain,female,146,0.00%,female,SLC26A3,2.240146813,0.319188542,65
brain,female,146,0.00%,female,RASGEF1B,2.278285768,0.333568983,72
brain,female,146,0.00%,female,RP11-701H24.9,1.936865425,0.204835121,20
brain,female,146,,female,LINGO3,,,
brain,female,146,0.00%,female,PDE4DIP,1.559119701,0.062404635,3
brain,female,146,,female,AC159540.1,,,
brain,female,146,0.00%,female,RP11-289H16.1,1.535072207,0.053337434,1
brain,female,146,0.00%,female,RP11-219A15.1,1.599906445,0.077783434,1
brain,female,146,,female,LINC01609,,,
brain,female,146,,female,PHYHIP,,,
brain,female,146,0.00%,female,RP11-745L13.2,1.412036419,0.006946314,1
brain,female,108,0.00%,female,SLC26A3,2.252992249,0.324031963,35
brain,female,108,0.00%,female,RASGEF1B,2.364991506,0.366261716,36
brain,female,108,0.00%,female,RP11-701H24.9,1.543122053,0.05637266,1
brain,female,108,,female,LINGO3,,,
brain,female,108,0.00%,female,PDE4DIP,2.183826447,0.29795273,1
brain,female,108,,female,AC159540.1,,,
brain,female,108,,female,RP11-289H16.1,,,
brain,female,108,,female,RP11-219A15.1,,,
brain,female,108,,female,LINC01609,,,
brain,female,108,0.00%,female,PHYHIP,2.285197258,0.336174987,2
brain,female,108,,female,RP11-745L13.2,,,
brain,male,40,0.00%,male,SLC26A3,2.171404975,0.293269166,14
brain,male,40,0.00%,male,RASGEF1B,2.331840368,0.353761952,13
brain,male,40,0.00%,male,RP11-701H24.9,2.499601841,0.417017064,2
brain,male,40,,male,LINGO3,,,
brain,male,40,,male,PDE4DIP,,,
brain,male,40,,male,AC159540.1,,,
brain,male,40,,male,RP11-289H16.1,,,
brain,male,40,,male,RP11-219A15.1,,,
brain,male,40,,male,LINC01609,,,
brain,male,40,,male,PHYHIP,,,
brain,male,40,,male,RP11-745L13.2,,,
brain,male,2042,0.00%,male,SLC26A3,2.134308212,0.279281688,87
brain,male,2042,0.00%,male,RASGEF1B,1.987357374,0.223873306,212
brain,male,2042,0.00%,male,RP11-701H24.9,2.172732267,0.293769626,176
brain,male,2042,0.00%,male,LINGO3,1.869319677,0.179366736,2
brain,male,2042,0.00%,male,PDE4DIP,1.877353556,0.182395941,68
brain,male,2042,0.00%,male,AC159540.1,1.651362419,0.097185108,7
brain,male,2042,,male,RP11-289H16.1,,,
brain,male,2042,,male,RP11-219A15.1,,,
brain,male,2042,,male,LINC01609,,,
brain,male,2042,0.00%,male,PHYHIP,2.187473865,0.299328003,94
brain,male,2042,0.00%,male,RP11-745L13.2,1.75780983,0.137321516,5
brain,female,1068,0.00%,female,SLC26A3,2.123888245,0.275352799,200
brain,female,1068,0.00%,female,RASGEF1B,2.17387034,0.294198741,347
brain,female,1068,0.00%,female,RP11-701H24.9,2.22174557,0.312250282,277
brain,female,1068,0.00%,female,LINGO3,1.874665022,0.181382219,2
brain,female,1068,0.00%,female,PDE4DIP,2.493040721,0.414543168,3
brain,female,1068,,female,AC159540.1,,,
brain,female,1068,,female,RP11-289H16.1,,,
brain,female,1068,0.00%,female,RP11-219A15.1,2.041249275,0.244193456,2
brain,female,1068,,female,LINC01609,,,
brain,female,1068,0.00%,female,PHYHIP,2.17992699,0.296482425,210
brain,female,1068,,female,RP11-745L13.2,,,
brain,male,1081,0.00%,male,SLC26A3,2.672080358,0.482050756,12
brain,male,1081,0.00%,male,RASGEF1B,1.916738337,0.197246125,99
brain,male,1081,0.00%,male,RP11-701H24.9,2.020468521,0.236357992,5
brain,male,1081,,male,LINGO3,,,
brain,male,1081,0.00%,male,PDE4DIP,1.877353556,0.182395941,68
brain,male,1081,0.00%,male,AC159540.1,1.651362419,0.097185108,7
brain,male,1081,,male,RP11-289H16.1,,,
brain,male,1081,,male,RP11-219A15.1,,,
brain,male,1081,,male,LINC01609,,,
brain,male,1081,0.00%,male,PHYHIP,2.005933046,0.230877335,16
brain,male,1081,0.00%,male,RP11-745L13.2,1.75780983,0.137321516,5
brain,female,30,0.00%,female,SLC26A3,2.155511284,0.287276388,5
brain,female,30,0.00%,female,RASGEF1B,2.420968316,0.387367989,11
brain,female,30,0.00%,female,RP11-701H24.9,2.138556957,0.280883694,2
brain,female,30,,female,LINGO3,,,
brain,female,30,0.00%,female,PDE4DIP,2.53912735,0.43192031,1
brain,female,30,,female,AC159540.1,,,
brain,female,30,,female,RP11-289H16.1,,,
brain,female,30,0.00%,female,RP11-219A15.1,2.041249275,0.244193456,2
brain,female,30,,female,LINC01609,,,
brain,female,30,0.00%,female,PHYHIP,2.092767477,0.263618593,1
brain,female,30,,female,RP11-745L13.2,,,
brain,male,36870,0.03%,male,SLC26A3,2.421598755,0.387605699,2365
brain,male,36870,0.05%,male,RASGEF1B,2.448816411,0.397868221,4585
brain,male,36870,0.01%,male,RP11-701H24.9,2.044336447,0.245357486,1342
brain,male,36870,0.00%,male,LINGO3,1.922741452,0.199509622,37
brain,male,36870,0.03%,male,PDE4DIP,2.04182601,0.244410916,2715
brain,male,36870,0.00%,male,AC159540.1,1.959353566,0.213314362,256
brain,male,36870,0.00%,male,RP11-289H16.1,2.021464139,0.236733394,187
brain,male,36870,0.00%,male,RP11-219A15.1,1.93628078,0.204614679,144
brain,male,36870,0.01%,male,LINC01609,2.499137158,0.416841853,614
brain,male,36870,0.01%,male,PHYHIP,2.011286544,0.232895892,886
brain,male,36870,0.00%,male,RP11-745L13.2,1.98502412,0.222993543,307
brain,female,13499,0.02%,female,SLC26A3,2.24336655,0.320402556,1436
brain,female,13499,0.03%,female,RASGEF1B,2.316490479,0.347974217,2371
brain,female,13499,0.01%,female,RP11-701H24.9,2.067107317,0.253943331,802
brain,female,13499,0.00%,female,LINGO3,1.845030418,0.170208376,26
brain,female,13499,0.03%,female,PDE4DIP,2.069234189,0.254745276,2673
brain,female,13499,0.00%,female,AC159540.1,1.91824913,0.197815775,144
brain,female,13499,0.00%,female,RP11-289H16.1,2.004310469,0.230265536,110
brain,female,13499,0.00%,female,RP11-219A15.1,1.871518102,0.18019566,58
brain,female,13499,0.00%,female,LINC01609,1.945541947,0.208106637,54
brain,female,13499,0.01%,female,PHYHIP,2.075201424,0.256995245,759
brain,female,13499,0.00%,female,RP11-745L13.2,2.029665908,0.239825903,173
brain,male,15735,0.00%,male,SLC26A3,1.68187887,0.108691454,22
brain,male,15735,0.02%,male,RASGEF1B,1.794969773,0.151332817,1733
brain,male,15735,,male,RP11-701H24.9,,,
brain,male,15735,0.00%,male,LINGO3,1.972392082,0.218230585,12
brain,male,15735,0.02%,male,PDE4DIP,2.07716626,0.257736094,2137
brain,male,15735,0.00%,male,AC159540.1,1.670874953,0.104542385,16
brain,male,15735,,male,RP11-289H16.1,,,
brain,male,15735,,male,RP11-219A15.1,,,
brain,male,15735,0.00%,male,LINC01609,1.63454318,0.090843349,1
brain,male,15735,0.00%,male,PHYHIP,1.65493228,0.098531138,74
brain,male,15735,0.00%,male,RP11-745L13.2,1.609160953,0.081272882,27
brain,female,3501,0.00%,female,SLC26A3,1.974603891,0.219064556,4
brain,female,3501,0.00%,female,RASGEF1B,1.92826873,0.201593704,359
brain,female,3501,,female,RP11-701H24.9,,,
brain,female,3501,0.00%,female,LINGO3,2.016440582,0.234839242,10
brain,female,3501,0.02%,female,PDE4DIP,2.126523369,0.276346383,1994
brain,female,3501,,female,AC159540.1,,,
brain,female,3501,,female,RP11-289H16.1,,,
brain,female,3501,,female,RP11-219A15.1,,,
brain,female,3501,,female,LINC01609,,,
brain,female,3501,0.00%,female,PHYHIP,1.5622859,0.063598462,6
brain,female,3501,,female,RP11-745L13.2,,,
brain,female,10187,0.00%,female,SLC26A3,2.111268166,0.270594349,397
brain,female,10187,0.03%,female,RASGEF1B,2.369063023,0.367796898,2649
brain,female,10187,,female,RP11-701H24.9,,,
brain,female,10187,0.00%,female,LINGO3,2.114611053,0.271854798,10
brain,female,10187,0.04%,female,PDE4DIP,2.507063066,0.419830348,3229
brain,female,10187,0.01%,female,AC159540.1,1.813263746,0.15823063,530
brain,female,10187,0.00%,female,RP11-289H16.1,1.982958382,0.222214649,405
brain,female,10187,0.00%,female,RP11-219A15.1,1.696415121,0.114172404,11
brain,female,10187,0.00%,female,LINC01609,2.000383985,0.22878504,91
brain,female,10187,0.00%,female,PHYHIP,1.942738701,0.207049663,51
brain,female,10187,0.00%,female,RP11-745L13.2,1.868829284,0.179181831,99
brain,male,7320,0.00%,male,SLC26A3,2.043173352,0.244918936,318
brain,male,7320,0.02%,male,RASGEF1B,2.353204676,0.361817447,1977
brain,male,7320,,male,RP11-701H24.9,,,
brain,male,7320,0.00%,male,LINGO3,1.820442312,0.160937336,17
brain,male,7320,0.02%,male,PDE4DIP,2.189981749,0.30027361,2106
brain,male,7320,0.01%,male,AC159540.1,1.839470625,0.168112035,512
brain,male,7320,0.01%,male,RP11-289H16.1,1.931065858,0.202648372,530
brain,male,7320,0.00%,male,RP11-219A15.1,1.579768441,0.070190322,11
brain,male,7320,0.00%,male,LINC01609,1.965496826,0.215630702,100
brain,male,7320,0.00%,male,PHYHIP,1.781412715,0.146221076,113
brain,male,7320,0.00%,male,RP11-745L13.2,1.838406154,0.167710672,63
brain,female,57,,female,SLC26A3,,,
brain,female,57,,female,RASGEF1B,,,
brain,female,57,,female,RP11-701H24.9,,,
brain,female,57,,female,LINGO3,,,
brain,female,57,,female,PDE4DIP,,,
brain,female,57,,female,AC159540.1,,,
brain,female,57,,female,RP11-289H16.1,,,
brain,female,57,,female,RP11-219A15.1,,,
brain,female,57,,female,LINC01609,,,
brain,female,57,,female,PHYHIP,,,
brain,female,57,,female,RP11-745L13.2,,,
brain,male,158751,0.12%,male,SLC26A3,2.371351175,0.368659654,10751
brain,male,158751,0.20%,male,RASGEF1B,2.611658072,0.4592683,18605
brain,male,158751,0.02%,male,RP11-701H24.9,2.061104892,0.251680093,1901
brain,male,158751,0.01%,male,LINGO3,1.814182057,0.158576883,952
brain,male,158751,0.10%,male,PDE4DIP,1.930163726,0.20230822,9113
brain,male,158751,0.02%,male,AC159540.1,1.871012169,0.180004896,1619
brain,male,158751,0.02%,male,RP11-289H16.1,2.109538865,0.26994231,2062
brain,male,158751,0.01%,male,RP11-219A15.1,1.917821375,0.197654489,1042
brain,male,158751,0.03%,male,LINC01609,2.598730024,0.454393729,2637
brain,male,158751,0.04%,male,PHYHIP,1.984152288,0.222664816,3475
brain,male,158751,0.02%,male,RP11-745L13.2,1.894600712,0.188899048,1789
brain,female,48020,0.04%,female,SLC26A3,2.271420978,0.330980587,3851
brain,female,48020,0.08%,female,RASGEF1B,2.405637107,0.381587297,7492
brain,female,48020,0.01%,female,RP11-701H24.9,1.937072851,0.204913332,627
brain,female,48020,0.00%,female,LINGO3,1.877025742,0.182272337,332
brain,female,48020,0.05%,female,PDE4DIP,1.970895311,0.217666221,4873
brain,female,48020,0.01%,female,AC159540.1,1.835316819,0.166545827,910
brain,female,48020,0.01%,female,RP11-289H16.1,1.805965681,0.155478866,1321
brain,female,48020,0.01%,female,RP11-219A15.1,1.897183945,0.189873066,706
brain,female,48020,0.00%,female,LINC01609,1.827672752,0.163663601,166
brain,female,48020,0.01%,female,PHYHIP,1.914230597,0.196300572,1159
brain,female,48020,0.01%,female,RP11-745L13.2,1.79817857,0.152542706,657
brain,male,163069,0.12%,male,SLC26A3,2.36984496,0.36809173,10848
brain,male,163069,0.21%,male,RASGEF1B,2.598320603,0.454239355,19074
brain,male,163069,0.02%,male,RP11-701H24.9,2.083638738,0.260176567,2047
brain,male,163069,0.01%,male,LINGO3,1.814248399,0.158601897,957
brain,male,163069,0.10%,male,PDE4DIP,1.928345319,0.201622582,9271
brain,male,163069,0.02%,male,AC159540.1,1.868470106,0.179046402,1688
brain,male,163069,0.02%,male,RP11-289H16.1,2.110215023,0.270197258,2067
brain,male,163069,0.01%,male,RP11-219A15.1,1.918257938,0.197819096,1046
brain,male,163069,0.03%,male,LINC01609,2.597540142,0.453945079,2641
brain,male,163069,0.04%,male,PHYHIP,1.990141906,0.224923224,3596
brain,male,163069,0.02%,male,RP11-745L13.2,1.895011117,0.189053793,1799
brain,female,48484,0.04%,female,SLC26A3,2.270661902,0.330694374,3923
brain,female,48484,0.08%,female,RASGEF1B,2.403722743,0.380865479,7627
brain,female,48484,0.01%,female,RP11-701H24.9,1.970990714,0.217702194,708
brain,female,48484,0.00%,female,LINGO3,1.879702265,0.183281531,334
brain,female,48484,0.05%,female,PDE4DIP,1.970648428,0.217573133,4892
brain,female,48484,0.01%,female,AC159540.1,1.844486204,0.170003179,936
brain,female,48484,0.01%,female,RP11-289H16.1,1.805691475,0.155375476,1327
brain,female,48484,0.01%,female,RP11-219A15.1,1.897442499,0.189970554,715
brain,female,48484,0.00%,female,LINC01609,1.836824871,0.167114443,168
brain,female,48484,0.01%,female,PHYHIP,1.926693288,0.200999678,1207
brain,female,48484,0.01%,female,RP11-745L13.2,1.801628777,0.15384362,666
brain,male,719,0.00%,male,SLC26A3,2.283526877,0.335545163,69
brain,male,719,0.00%,male,RASGEF1B,2.272401249,0.331350202,102
brain,male,719,0.00%,male,RP11-701H24.9,2.386773246,0.374474606,140
brain,male,719,0.00%,male,LINGO3,2.137025356,0.280306198,2
brain,male,719,0.00%,male,PDE4DIP,1.783763051,0.147107279,16
brain,male,719,0.00%,male,AC159540.1,1.964023003,0.215074991,26
brain,male,719,0.00%,male,RP11-289H16.1,1.545730829,0.057356309,1
brain,male,719,0.00%,male,RP11-219A15.1,2.031973362,0.240695937,4
brain,male,719,,male,LINC01609,,,
brain,male,719,0.00%,male,PHYHIP,2.317707371,0.34843305,74
brain,male,719,0.00%,male,RP11-745L13.2,1.986980629,0.223731253,5
brain,female,302,0.00%,female,SLC26A3,2.289001465,0.337609377,56
brain,female,302,0.00%,female,RASGEF1B,2.323504978,0.35061906,99
brain,female,302,0.00%,female,RP11-701H24.9,2.233154704,0.31655214,75
brain,female,302,0.00%,female,LINGO3,1.845826745,0.170508635,1
brain,female,302,0.00%,female,PDE4DIP,1.923269908,0.199708879,15
brain,female,302,0.00%,female,AC159540.1,2.232860565,0.316441234,22
brain,female,302,0.00%,female,RP11-289H16.1,1.676160097,0.106535169,1
brain,female,302,0.00%,female,RP11-219A15.1,1.917728,0.197619281,9
brain,female,302,0.00%,female,LINC01609,2.438884497,0.394123354,1
brain,female,302,0.00%,female,PHYHIP,2.22421695,0.313182126,39
brain,female,302,0.00%,female,RP11-745L13.2,2.053496467,0.248811307,9
brain,male,36,0.00%,male,SLC26A3,2.18236351,0.297401124,2
brain,male,36,0.00%,male,RASGEF1B,2.722722462,0.501145558,7
brain,male,36,0.00%,male,RP11-701H24.9,2.166990852,0.291604804,5
brain,male,36,,male,LINGO3,,,
brain,male,36,,male,PDE4DIP,,,
brain,male,36,,male,AC159540.1,,,
brain,male,36,,male,RP11-289H16.1,,,
brain,male,36,,male,RP11-219A15.1,,,
brain,male,36,,male,LINC01609,,,
brain,male,36,0.00%,male,PHYHIP,2.623002434,0.463545735,5
brain,male,36,,male,RP11-745L13.2,,,
brain,female,14,0.00%,female,SLC26A3,2.351434708,0.361150073,4
brain,female,14,0.00%,female,RASGEF1B,2.156919479,0.287807354,2
brain,female,14,0.00%,female,RP11-701H24.9,2.381328344,0.372421585,4
brain,female,14,,female,LINGO3,,,
brain,female,14,,female,PDE4DIP,,,
brain,female,14,,female,AC159540.1,,,
brain,female,14,,female,RP11-289H16.1,,,
brain,female,14,,female,RP11-219A15.1,,,
brain,female,14,,female,LINC01609,,,
brain,female,14,0.00%,female,PHYHIP,2.054874897,0.249331049,4
brain,female,14,,female,RP11-745L13.2,,,
brain,female,21,,female,SLC26A3,,,
brain,female,21,0.00%,female,RASGEF1B,2.671313524,0.481761619,1
brain,female,21,,female,RP11-701H24.9,,,
brain,female,21,0.00%,female,LINGO3,2.802139997,0.531090246,1
brain,female,21,0.00%,female,PDE4DIP,2.317388058,0.348312652,1
brain,female,21,,female,AC159540.1,,,
brain,female,21,,female,RP11-289H16.1,,,
brain,female,21,,female,RP11-219A15.1,,,
brain,female,21,,female,LINC01609,,,
brain,female,21,0.00%,female,PHYHIP,2.944954236,0.584938908,3
brain,female,21,,female,RP11-745L13.2,,,
brain,male,7299,0.01%,male,SLC26A3,1.986480868,0.223542816,589
brain,male,7299,0.01%,male,RASGEF1B,2.032997549,0.241082111,785
brain,male,7299,0.01%,male,RP11-701H24.9,1.865712968,0.178006812,756
brain,male,7299,0.00%,male,LINGO3,1.777710438,0.144825118,3
brain,male,7299,0.00%,male,PDE4DIP,1.91905732,0.198120506,185
brain,male,7299,0.00%,male,AC159540.1,1.797138779,0.152150649,54
brain,male,7299,0.00%,male,RP11-289H16.1,1.979136467,0.220773581,20
brain,male,7299,0.00%,male,RP11-219A15.1,1.77945102,0.145481411,49
brain,male,7299,0.00%,male,LINC01609,2.019015206,0.235810014,9
brain,male,7299,0.00%,male,PHYHIP,1.84994758,0.172062412,243
brain,male,7299,0.00%,male,RP11-745L13.2,1.791369302,0.149975245,42
brain,female,2008,0.01%,female,SLC26A3,1.948342628,0.209162645,491
brain,female,2008,0.01%,female,RASGEF1B,2.094997699,0.264459507,728
brain,female,2008,0.00%,female,RP11-701H24.9,1.88198239,0.18414126,378
brain,female,2008,,female,LINGO3,,,
brain,female,2008,0.00%,female,PDE4DIP,1.98408404,0.222639083,161
brain,female,2008,0.00%,female,AC159540.1,1.966573615,0.216036709,38
brain,female,2008,0.00%,female,RP11-289H16.1,1.896584741,0.189647133,29
brain,female,2008,0.00%,female,RP11-219A15.1,1.83479045,0.166347357,26
brain,female,2008,0.00%,female,LINC01609,1.967197691,0.216272019,14
brain,female,2008,0.00%,female,PHYHIP,1.831453633,0.165089197,234
brain,female,2008,0.00%,female,RP11-745L13.2,1.867444356,0.178659639,33
brain,male,6952,0.01%,male,SLC26A3,1.916303475,0.197082158,465
brain,male,6952,0.01%,male,RASGEF1B,1.992282444,0.225730322,657
brain,male,6952,0.01%,male,RP11-701H24.9,1.856653316,0.174590835,706
brain,male,6952,0.00%,male,LINGO3,1.777710438,0.144825118,3
brain,male,6952,0.00%,male,PDE4DIP,1.919077068,0.198127952,167
brain,male,6952,0.00%,male,AC159540.1,1.786044276,0.147967424,43
brain,male,6952,0.00%,male,RP11-289H16.1,1.989195171,0.224566254,19
